PUID,name,extension,containerDataFormat,category,outPuid,possibleOutPuid,outputDataFormat,keepOriginal
fmt/401,X-Windows Screen Dump Ver. (X11),"xdm,xwd",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/402,Truevision TGA Bitmap Ver. (2.0),"icb,tga,vda,vst",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/403,SuperCalc Spreadsheet Ver. (1),cal,false,Spreadsheet,fmt/477,fmt/477,false,true
fmt/404,RealAudio Ver. (4),ra,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/405,Portable Any Map,pam,false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/406,Portable Grey Map - Binary,"pgm,pgmb",false,Binary (Data),fmt/406,fmt/406,true,false
fmt/407,Portable Grey Map - ASCII,"pgm,pgma",false,Text (Structured),fmt/477,fmt/477,false,false
fmt/408,Portable Pixel Map - Binary,"ppm,ppmb",false,Binary (Data),fmt/408,fmt/408,true,false
fmt/409,Portable Bitmap Image - Binary,"pbmb,pnm",false,Image (Raster),fmt/645,"fmt/645,fmt/10,fmt/13",false,false
fmt/410,Internet Archive Ver. (1.1),arc,true,Package,fmt/410,fmt/410,false,false
fmt/411,RAR Archive Ver. (2.9),rar,true,Package,fmt/411,fmt/411,false,false
fmt/412,Microsoft Word for Windows Ver. (2007 onwards),"docx,wbk",false,Word Processing,fmt/477,fmt/477,false,false
fmt/413,Scalable Vector Graphics Tiny Ver. (1.2),svg,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/414,Audio Interchange File Format Ver. (1.2),"aif,aiff",false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/415,Cinema 4D Ver. (4.x),c4d,false,Video,fmt/4,"fmt/4,fmt/649,fmt/640,fmt/199",false,false
fmt/416,Apple Core Audio Format Ver. (1.0),caf,false,Audio,fmt/134,"fmt/134,fmt/198,fmt/141",false,false
fmt/417,Adobe Illustrator Ver. (88),ai,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/418,Adobe Illustrator Ver. (3.0 / 3.2),ai,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/419,Adobe Illustrator Ver. (4.0),ai,false,Image (Vector),fmt/477,fmt/477,false,true
fmt/420,Adobe Illustrator Ver. (5.0 / 5.5),ai,false,Image (Vector),fmt/477,fmt/477,false,true
